"Item Code","Item Group","Brand","Item Name"
"Display Box with 13pcs Tools","Detailing Tools","HK Foshio","Display Box with 13pcs Tools"
"CPink Turbo squeegee 5.5","Detailing Tools","HK Foshio","CPink Turbo squeegee 5.5"
"Cleaning Pad","Detailing Tools","HK Foshio","Cleaning Pad"
"Clay Bar for Car Washing","Detailing Tools","HK Foshio","Clay Bar for Car Washing"
"Car Dash Cover","Detailing Tools","HK Foshio","Car Dash Cover"
"Carbon Fiber Glove","Detailing Tools","HK Foshio","Carbon Fiber Glove"
"Adjustable Vinyl Film Roll Hoop Ring","Detailing Tools","HK Foshio","Adjustable Vinyl Film Roll Hoop Ring"
"19L Pressure Tank","Detailing Tools","HK Foshio","19L Pressure Tank"
"DYNOblack-Matte1","Paint Protection Film – Dyno Series","STEK","DYNOblack-Matte1"
"P91 Basics - Clear","Paint Protection Film","P91","P91 Basics - Clear"
"Nasiol Backing Plate","Car Care Products","Nasiol","Nasiol Backing Plate"
"Nasiol Lamb’s Wool Pad","Car Care Products","Nasiol","Nasiol Lamb’s Wool Pad"
"Nasiol Super Fine","Car Care Products","Nasiol","Nasiol Super Fine"
"Nasiol Fine","Car Care Products","Nasiol","Nasiol Fine"
"Nasiol Medium","Car Care Products","Nasiol","Nasiol Medium"
"Nasiol Heavy","Car Care Products","Nasiol","Nasiol Heavy"
"Nasiol Suede Cloth","Car Care Products","Nasiol","Nasiol Suede Cloth"
"Nasiol Cotton Cloth","Car Care Products","Nasiol","Nasiol Cotton Cloth"
"Nasiol Wash Mitt","Car Care Products","Nasiol","Nasiol Wash Mitt"
"Nasiol Drying Towel","Car Care Products","Nasiol","Nasiol Drying Towel"
"Nasiol Microfiber Wipe n Buff","Car Care Products","Nasiol","Nasiol Microfiber Wipe n Buff"
"Nasiol Microfiber Cloth","Car Care Products","Nasiol","Nasiol Microfiber Cloth"
"Nasiol Applicator Block","Car Care Products","Nasiol","Nasiol Applicator Block"
"Nasiol New Car Smell","Car Care Products","Nasiol","Nasiol New Car Smell"
"Nasiol Leather Cleaner","Car Care Products","Nasiol","Nasiol Leather Cleaner"
"Nasiol Temporoad","Car Care Products","Nasiol","Nasiol Temporoad"
"Nasiol Clean","Car Care Products","Nasiol","Nasiol Clean 1L"
"Nasiol Detailer Shine","Car Care Products","Nasiol","Nasiol Detailer Shine 500 ml"
"Nasiol Cabin Shine","Car Care Products","Nasiol","Nasiol Cabin Shine"
"Nasiol TEM APC","Car Care Products","Nasiol","Nasiol TEM APC"
"Nasiol Cleanion Pro","Car Care Products","Nasiol","Nasiol Cleanion Pro 500g"
"Nasiol ZR53 (Re-packed Bottles)","Car Care Products","Nasiol","Nasiol ZR53 (Re-packed Bottles)"
"Nasiol Glashield Wipe On","Car Care Products","Nasiol","Nasiol Glashield Wipe On"
"Nasiol Rapid Shine","Car Care Products","Nasiol","Nasiol Rapid Shine"
"Nasiol Nano Seat Protect","Car Care Products","Nasiol","Nasiol Nano Seat Protect"
"Nasiol Cabin Care","Car Care Products","Nasiol","Nasiol Cabin Care"
"Nasiol Leather Boost","Car Care Products","Nasiol","Nasiol Leather Boost"
"Nasiol Trim Coat","Car Care Products","Nasiol","Nasiol Trim Coat"
"Nasiol Glashield","Car Care Products","Nasiol","Nasiol Glashield"
"Nasiol MetalcoatX","Car Care Products","Nasiol","Nasiol MetalcoatX"
